לקוח,שם לקוח,תקן,תיאור,אחראי לביצוע,שם אחראי,אגף,גירסה,תאריך הוצאה,תאריך עדכון אחרון,פעיל, , , 
7100,Pratt & Whitney Aircraft Group,Bulletin No. 530,"SQR coverage at ISQR-01 suppliers, and for parts required to meet ISQR-
01 in place of ASQR-01.",52258,קציר עמוס,,,10/09/2012,10/09/2012,Active,,,
7100,Pratt & Whitney Aircraft Group,Bulletin No. 531,Military Tooling Acceptance Marking Bulletin.,52258,קציר עמוס,,,10/09/2012,10/09/2012,Active,,,
7100,Pratt & Whitney Aircraft Group,Bulletin No. 532,FAI Standard Work Checklist,52258,קציר עמוס,,,11/09/2012,11/09/2012,Active,,,
7100,Pratt & Whitney Aircraft Group,Bulletin No. 533,SQA Non-Flight Hardware Inspection Stamps,52258,קציר עמוס,,,14/11/2012,14/11/2012,Active,,,
7100,Pratt & Whitney Aircraft Group,Bulletin No. 533A,Stamps,52258,קציר עמוס,,,22/03/2013,22/03/2013,Active,,,
7100,Pratt & Whitney Aircraft Group,Bulletin No. 534,Development Raw Material Marking,52258,קציר עמוס,,,14/11/2012,14/11/2012,Active,,,
7100,Pratt & Whitney Aircraft Group,Bulletin No. 535,FAI Standard Work Checklist,52258,קציר עמוס,,,14/11/2012,14/11/2012,Active,,,
7100,Pratt & Whitney Aircraft Group,Bulletin No. 536,Ship Prior to Completion of Requirements,52258,קציר עמוס,,,13/12/2012,13/12/2012,Active,,,
7100,Pratt & Whitney Aircraft Group,Bulletin No. 537,SQAPM Section 3 Source Over–Inspection Requirements,52258,קציר עמוס,,,27/02/2013,27/02/2013,Active,,,
7100,Pratt & Whitney Aircraft Group,Bulletin No. 537A,"Shipping material prior to completion of required
Testing, Qualification, or Disposition.",52258,קציר עמוס,,,22/03/2013,22/03/2013,Active,,,
7100,Pratt & Whitney Aircraft Group,Bulletin No. 538,"SQAPM Section 5
Surveillance Requirements",52258,קציר עמוס,,,27/06/2013,27/06/2013,Active,,,
7100,Pratt & Whitney Aircraft Group,Bulletin No. 539,Contract Terminations Bulletin,52258,קציר עמוס,,,27/06/2013,27/06/2013,Active,,,
7100,Pratt & Whitney Aircraft Group,Bulletin No. 540,Authorization to sign customer block,52258,קציר עמוס,,,27/06/2013,27/06/2013,Active,,,
7100,Pratt & Whitney Aircraft Group,Bulletin No. 541,FAI Standard Work Checklist,52258,קציר עמוס,,,25/11/2013,25/11/2013,Active,,,
7100,Pratt & Whitney Aircraft Group,Bulletin No. 542,CQAR,52258,קציר עמוס,,,27/11/2013,27/11/2013,Active,,,
7100,Pratt & Whitney Aircraft Group,Bulletin No. 543,SQAPM SECTION 5,52258,קציר עמוס,,,17/02/2014,17/02/2014,Active,,,
7100,Pratt & Whitney Aircraft Group,Bulletin No. 544,SQAPM Section 3 and 5,52258,קציר עמוס,,,28/08/2014,27/10/2014,Active,,,
7100,Pratt & Whitney Aircraft Group,Bulletin No. 545,SQAPM Section 3 Paragraphs 10.2 and 10.3,52258,קציר עמוס,,,26/03/2015,26/03/2015,Active,,,
7100,Pratt & Whitney Aircraft Group,Bulletin No. 546,Applies to SQAPM Section 1,52258,קציר עמוס,,,06/08/2015,06/08/2015,Active,,,
7100,Pratt & Whitney Aircraft Group,Bulletin No. 66,MATERIALS CONTROL LABORATORY (MCL) BULLETIN,52258,קציר עמוס,,,11/10/2011,11/10/2011,Active,,,
7100,Pratt & Whitney Aircraft Group,CE-AO 7.7.4 S,Aftermarket Supplier Quality Requirements,111807,הלל גיא,,1,19/02/2016,19/02/2016,Active,,,
7100,Pratt & Whitney Aircraft Group,DCM-5,SPLINE PITCH DIAMETER CENTERPOINTS VECTOR SUM DIRECTION DETERMINATION,88500,לפיד אלדד,,B,16/11/1981,24/10/2011,Active,,,
7100,Pratt & Whitney Aircraft Group,DCS 205,Dimensional Control Standard,52258,קציר עמוס,,B,11/04/2015,24/01/2017,Active,,,
7100,Pratt & Whitney Aircraft Group,DCS-1 MASTER,DIMENSIONAL CONTROL STANDARD,52258,קציר עמוס,,P,01/06/1952,30/10/2009,Active,,,
7100,Pratt & Whitney Aircraft Group,DCS-101,INSPECTION OF COATINGS,,,,B,06/10/1976,30/10/2009,Active,,,
7100,Pratt & Whitney Aircraft Group,DCS-104,"CANCELLED,   INFORMATION PREVIOUSLY CONTAINED IN DCS-104",,,,B,26/10/1976,19/02/1992,Active,,,
7100,Pratt & Whitney Aircraft Group,DCS-153,"INSPECTION OF ATTACHMENT SLOTS ON DISKS, SHAFTS & HUB",52258,קציר עמוס,,D,18/09/1990,30/10/2009,Active,,,
7100,Pratt & Whitney Aircraft Group,DCS-154,INSPECTION OF DOVETAIL SLOT RADII,52258,קציר עמוס,,C,12/07/1991,30/10/2009,Active,,,
7100,Pratt & Whitney Aircraft Group,DCS-163,CUSTOMER DATA FORM PROCESSING,52258,קציר עמוס,,E,11/03/1993,02/12/2010,Active,,,
7100,Pratt & Whitney Aircraft Group,DCS-166,BROACHED SLOT CENTRALITY IN DISKS,52258,קציר עמוס,,A,28/06/1993,30/10/2009,Active,,,
7100,Pratt & Whitney Aircraft Group,DCS-175,INSPECTION OF TURBINE AIRFOILS USING,112102,רז שלמה,,C,25/09/1995,12/08/2014,Active,,,
7100,Pratt & Whitney Aircraft Group,DCS-176,INSPECTION AND PROCESS MONITORING OF CAST EXTERNAL NON AIRFOIL PART GEOMETRY,112102,רז שלמה,,C,14/02/2012,14/02/2012,Active,,,
7100,Pratt & Whitney Aircraft Group,DCS-178,PRIME RELIABLE PARTS,52258,קציר עמוס,,G,26/03/1997,17/02/2010,Active,,,
