לקוח,שם לקוח,תקן,תיאור,אחראי לביצוע,שם אחראי,אגף,גירסה,תאריך הוצאה,תאריך עדכון אחרון,פעיל, , , 
7170,MTU Aero Engines AG,MTC-260,EISEN - CHLORID/SALZSAUR-LOSUNG,,,,,01/03/1996,01/03/1996,Active,,,
7170,MTU Aero Engines AG,MTC-261,EISEN-CHLORID/SALZAURE-LOSUNG,,,,,01/03/1983,01/03/1983,Active,,,
7170,MTU Aero Engines AG,MTC-263,"Iron(III) chloride /
hydrochloric acid solution",111534,רוזנשטיין צ'רלס,,,01/06/2003,01/04/2014,Active,,,
7170,MTU Aero Engines AG,MTC5,Electrolytic marking solution,112052,גור מיטל,12,18,01/02/1985,01/02/2018,Active,,,
7170,MTU Aero Engines AG,MTH 108,Hydrochlorid acid Chemical grade,108449,לנדאו אשר,,19,01/12/2007,01/05/2019,Active,,,
7170,MTU Aero Engines AG,MTH 109,Nitric acid - technical grade,112052,גור מיטל,,17,01/12/2004,01/06/2017,Active,,,
7170,MTU Aero Engines AG,MTH 110,Nitric acid -technical grade,112052,גור מיטל,,17,01/02/2001,01/05/2017,Active,,,
7170,MTU Aero Engines AG,MTH 125,Phosphoric acid,111534,רוזנשטיין צ'רלס,,,01/10/2018,01/10/2018,Active,,,
7170,MTU Aero Engines AG,MTH 133,ETHANOL DENATURED WITH MEK,111534,רוזנשטיין צ'רלס,,16,01/07/2003,01/06/2016,Active,,,
7170,MTU Aero Engines AG,MTH 148,"Sodium hydroxide
Technisch
Technical grade",111534,רוזנשטיין צ'רלס,,17,01/10/2003,01/10/2017,Active,,,
7170,MTU Aero Engines AG,MTH 153,HYDROFLUORIC ACID,111534,רוזנשטיין צ'רלס,,19,01/05/1996,01/11/2019,Active,,,
7170,MTU Aero Engines AG,MTH 154,Hydrofluoric acid,111534,רוזנשטיין צ'רלס,,16,01/11/1995,01/12/2016,Active,,,
7170,MTU Aero Engines AG,MTH 165,Sulphuric Acid,,,,19,01/11/1999,01/10/2019,Active,,,
7170,MTU Aero Engines AG,MTH 168,Hydrochloric acid,111534,רוזנשטיין צ'רלס,,17,01/03/2017,01/08/1985,Active,,,
7170,MTU Aero Engines AG,MTH 169,ACETON,111534,רוזנשטיין צ'רלס,,20,01/09/1994,01/01/2020,Active,,,
7170,MTU Aero Engines AG,MTH 181,Iron(III) chloride,111534,רוזנשטיין צ'רלס,,19,05/08/2001,01/03/2019,Active,,,
7170,MTU Aero Engines AG,MTH 190,Iron (III)-chloride Technical grade,,,,C,01/01/2004,01/01/2004,Active,,,
7170,MTU Aero Engines AG,MTH 225,Cleaner BONDERITE C-AD ARR AERO,112052,גור מיטל,,17,01/05/2017,01/05/2017,Active,,,
7170,MTU Aero Engines AG,MTH 226,Cleaner solvopol K,,,,,01/05/2003,01/05/2003,Active,,,
7170,MTU Aero Engines AG,MTH 239,Peening media for controlled shot peening,116301,רוד דן,,6,01/09/2004,01/12/2006,Active,,,
7170,MTU Aero Engines AG,MTH 244,"Peening Media for
Controlled Shot Peening
Glass Beads",110932,שר יעקב,,20,01/12/2006,01/01/2020,Active,,,
7170,MTU Aero Engines AG,MTH 245,"Peening Media for
Controlled Shot Peening
Glass Beads",110932,שר יעקב,,20,01/12/2006,01/01/2020,Active,,,
7170,MTU Aero Engines AG,MTH 246,"Synthetic Blasting Media;
Aluminium oxide",110932,שר יעקב,,19,01/01/2008,01/12/2019,Active,,,
7170,MTU Aero Engines AG,MTH 249,Synthetic blasting material,106815,וולפמן בוריס,,14,01/03/2011,01/05/2014,Active,,,
7170,MTU Aero Engines AG,MTH 250,"Synthetic Blasting Media
Aluminium oxide F 150",113522,נפמן אוראל,,14,01/09/2010,01/08/2014,Active,,,
7170,MTU Aero Engines AG,MTH 252,"Synthetic Blasting Material
Synthetic Blasting Material
Aluminium oxide",113522,נפמן אוראל,,18,01/01/2009,01/04/2018,Active,,,
7170,MTU Aero Engines AG,MTH 311,Nitrogen 5.0,111534,רוזנשטיין צ'רלס,,,01/04/2005,01/02/2016,Active,,,
7170,MTU Aero Engines AG,MTH 313,Hydrogen 5.0,111534,רוזנשטיין צ'רלס,,,01/04/2005,01/02/2016,Active,,,
7170,MTU Aero Engines AG,MTH 332,PRUFLOSUNG,,,,,01/11/1986,01/11/1986,Active,,,
7170,MTU Aero Engines AG,MTH 333,Hilfsstoffnorm / Auxiliary Materials Specification,112052,גור מיטל,,17,01/07/2017,01/07/2017,Active,,,
7170,MTU Aero Engines AG,MTH 346,SYNTHETISCHE STRAHLMITTEL,111534,רוזנשטיין צ'רלס,,19,10/08/2000,01/12/2019,Active,,,
7170,MTU Aero Engines AG,MTH 369,Synthetic blasting material,,,,14,01/03/2011,01/05/2014,Active,,,
7170,MTU Aero Engines AG,MTH 443,Cleaner TROWAL W32,,,,,01/09/2000,01/09/2000,Active,,,
7170,MTU Aero Engines AG,MTH 451,q,111534,רוזנשטיין צ'רלס,,20,01/08/2000,01/01/2020,Active,,,
